./Vasu/LLM/S20/train_get2.py:372: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  norm = torch.nn.utils.clip_grad_norm(model.parameters(), 1.0)
using device: cuda
loaded 338025 tokens
1 epoch = 41 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step192 | loss: 5.5118727684021 | dt: 3070.20ms | tok/sec:  2668.23 | norm: 0.94
step193 | loss: 5.159293174743652 | dt: 3070.63ms | tok/sec:  2667.86 | norm: 0.91
step194 | loss: 5.212157249450684 | dt: 3066.80ms | tok/sec:  2671.19 | norm: 0.90
step195 | loss: 5.028833389282227 | dt: 3064.15ms | tok/sec:  2673.49 | norm: 1.20
step196 | loss: 4.9283223152160645 | dt: 3063.36ms | tok/sec:  2674.19 | norm: 1.22
step197 | loss: 5.109558582305908 | dt: 3069.35ms | tok/sec:  2668.97 | norm: 1.13
step198 | loss: 4.919262886047363 | dt: 3066.49ms | tok/sec:  2671.46 | norm: 0.97
step199 | loss: 5.008813381195068 | dt: 3067.02ms | tok/sec:  2671.00 | norm: 1.00
step200 | loss: 4.9757466316223145 | dt: 3065.88ms | tok/sec:  2671.99 | norm: 1.16
step201 | loss: 4.953834056854248 | dt: 3051.54ms | tok/sec:  2684.55 | norm: 1.04
step202 | loss: 4.777434349060059 | dt: 3049.30ms | tok/sec:  2686.52 | norm: 0.93
step203 | loss: 4.6686482429504395 | dt: 3050.59ms | tok/sec:  2685.38 | norm: 0.96
step204 | loss: 5.332596302032471 | dt: 3056.34ms | tok/sec:  2680.33 | norm: 1.55
step205 | loss: 5.181251525878906 | dt: 3060.99ms | tok/sec:  2676.25 | norm: 1.15
step206 | loss: 5.2038350105285645 | dt: 3048.46ms | tok/sec:  2687.26 | norm: 1.06
step207 | loss: 4.867921352386475 | dt: 3052.15ms | tok/sec:  2684.01 | norm: 1.20
step208 | loss: 4.805878639221191 | dt: 3056.06ms | tok/sec:  2680.57 | norm: 1.06
step209 | loss: 4.8943681716918945 | dt: 3051.46ms | tok/sec:  2684.62 | norm: 0.98
step210 | loss: 5.0498948097229 | dt: 3053.03ms | tok/sec:  2683.24 | norm: 0.71
step211 | loss: 5.066795349121094 | dt: 3063.62ms | tok/sec:  2673.96 | norm: 1.29
step212 | loss: 4.985389232635498 | dt: 3058.57ms | tok/sec:  2678.38 | norm: 1.05
step213 | loss: 4.748647689819336 | dt: 3058.24ms | tok/sec:  2678.67 | norm: 1.06
step214 | loss: 4.907697677612305 | dt: 3057.84ms | tok/sec:  2679.02 | norm: 0.92
step215 | loss: 4.905181884765625 | dt: 3068.98ms | tok/sec:  2669.29 | norm: 1.26
step216 | loss: 5.144715785980225 | dt: 3059.53ms | tok/sec:  2677.54 | norm: 1.01
step217 | loss: 5.232973575592041 | dt: 3061.59ms | tok/sec:  2675.74 | norm: 0.91
step218 | loss: 5.079275608062744 | dt: 3065.62ms | tok/sec:  2672.22 | norm: 0.80
step219 | loss: 5.103134632110596 | dt: 3057.87ms | tok/sec:  2678.99 | norm: 0.99
step220 | loss: 4.8711748123168945 | dt: 3061.04ms | tok/sec:  2676.21 | norm: 0.96
step221 | loss: 5.008888244628906 | dt: 3064.97ms | tok/sec:  2672.79 | norm: 0.88
step222 | loss: 5.114824295043945 | dt: 3059.43ms | tok/sec:  2677.62 | norm: 0.93
step223 | loss: 5.033496856689453 | dt: 3060.59ms | tok/sec:  2676.61 | norm: 0.99
step224 | loss: 4.8595781326293945 | dt: 3061.32ms | tok/sec:  2675.97 | norm: 0.83
step225 | loss: 5.000492572784424 | dt: 3061.46ms | tok/sec:  2675.85 | norm: 0.90
step226 | loss: 4.816741466522217 | dt: 3057.81ms | tok/sec:  2679.04 | norm: 1.07
step227 | loss: 5.097280502319336 | dt: 3065.33ms | tok/sec:  2672.47 | norm: 1.18
step228 | loss: 4.818767547607422 | dt: 3065.77ms | tok/sec:  2672.08 | norm: 0.94
step229 | loss: 4.837841033935547 | dt: 3062.10ms | tok/sec:  2675.29 | norm: 0.79
step230 | loss: 4.852505683898926 | dt: 3067.61ms | tok/sec:  2670.48 | norm: 0.96
step231 | loss: 5.231616973876953 | dt: 3056.74ms | tok/sec:  2679.98 | norm: 1.33
step232 | loss: 5.135834217071533 | dt: 3059.72ms | tok/sec:  2677.37 | norm: 1.14
step233 | loss: 5.4297776222229 | dt: 3061.75ms | tok/sec:  2675.60 | norm: 1.12
step234 | loss: 5.056081295013428 | dt: 3059.46ms | tok/sec:  2677.59 | norm: 0.97
step235 | loss: 5.105252265930176 | dt: 3063.54ms | tok/sec:  2674.03 | norm: 0.98
step236 | loss: 4.9249677658081055 | dt: 3063.89ms | tok/sec:  2673.72 | norm: 1.21
step237 | loss: 4.834908962249756 | dt: 3063.28ms | tok/sec:  2674.25 | norm: 1.29
step238 | loss: 4.924089431762695 | dt: 3062.59ms | tok/sec:  2674.86 | norm: 0.96
step239 | loss: 4.761778354644775 | dt: 3060.44ms | tok/sec:  2676.74 | norm: 0.88
step240 | loss: 4.917152404785156 | dt: 3062.25ms | tok/sec:  2675.15 | norm: 1.06
step241 | loss: 4.8764214515686035 | dt: 3070.26ms | tok/sec:  2668.18 | norm: 1.09
step242 | loss: 4.8460516929626465 | dt: 3067.22ms | tok/sec:  2670.83 | norm: 0.99
step243 | loss: 4.6693525314331055 | dt: 3075.46ms | tok/sec:  2663.67 | norm: 0.90
step244 | loss: 4.550978660583496 | dt: 3073.66ms | tok/sec:  2665.22 | norm: 0.89
step245 | loss: 5.226302146911621 | dt: 3063.07ms | tok/sec:  2674.44 | norm: 1.18
step246 | loss: 5.076427459716797 | dt: 3065.00ms | tok/sec:  2672.75 | norm: 0.90
step247 | loss: 5.085913181304932 | dt: 3062.09ms | tok/sec:  2675.30 | norm: 1.06
step248 | loss: 4.759925842285156 | dt: 3058.55ms | tok/sec:  2678.39 | norm: 1.15
step249 | loss: 4.678389072418213 | dt: 3064.51ms | tok/sec:  2673.19 | norm: 0.92
step250 | loss: 4.767714977264404 | dt: 3060.96ms | tok/sec:  2676.28 | norm: 0.90
step251 | loss: 4.9228901863098145 | dt: 3060.65ms | tok/sec:  2676.55 | norm: 0.67
step252 | loss: 4.931565761566162 | dt: 3061.62ms | tok/sec:  2675.71 | norm: 1.22
step253 | loss: 4.851462364196777 | dt: 3065.98ms | tok/sec:  2671.90 | norm: 0.96
step254 | loss: 4.620146751403809 | dt: 3055.69ms | tok/sec:  2680.90 | norm: 1.05
step255 | loss: 4.809928894042969 | dt: 3064.46ms | tok/sec:  2673.23 | norm: 0.91
step256 | loss: 4.764363765716553 | dt: 3062.84ms | tok/sec:  2674.64 | norm: 1.05
